"provincia","cuenca","areayacimiento","avg_pet","std_pet"
"Tierra del Fuego","AUSTRAL","ARROYO GAMMA","25.6252083333333333","10.6738116563307737"
"Tierra del Fuego","AUSTRAL","BAJO GUADALOSO","32.3673076923076923","36.8507102300829266"
"Tierra del Fuego","AUSTRAL","CABO NOMBRE","36.2365470852017937","21.3972550695214265"
"Tierra del Fuego","AUSTRAL","CAÑADON ALFA-ARA-ARA SUR-ANTARES-ARGO","128.9016337104377104","198.699660760748"
"Tierra del Fuego","AUSTRAL","CAÑADON PIEDRA","34.0846982758620690","38.5730980082214616"
"Tierra del Fuego","AUSTRAL","CARMEN SILVA","33.1694736842105263","18.6637867232413507"
"Tierra del Fuego","AUSTRAL","CASTILLO OESTE","18.9636363636363636","6.5641820095534717"
"Tierra del Fuego","AUSTRAL","HIDRA-HIDRA SUR","583.0367000000000000","155.989886264916"
"Tierra del Fuego","AUSTRAL","KAUS","1072.7004375000000000","405.709096720586"
"Tierra del Fuego","AUSTRAL","LA SARA","56.8020175438596491","46.5925879475019845"
"Tierra del Fuego","AUSTRAL","LA SARA NORTE","51.2227500000000000","31.9486374644261368"
"Tierra del Fuego","AUSTRAL","LAGO FUEGO","66.7780000000000000","25.6992789831381175"
"Tierra del Fuego","AUSTRAL","LAGUNA ESCONDIDA","49.2663157894736842","18.7400646893601600"
"Tierra del Fuego","AUSTRAL","LAS VIOLETAS","49.3114996428571429","27.2020741164982276"
"Tierra del Fuego","AUSTRAL","LOS FLAMENCOS","29.4544390384615385","30.6184632251563005"
"Tierra del Fuego","AUSTRAL","LOS PATOS","45.2739162857142857","31.8049120094048429"
"Tierra del Fuego","AUSTRAL","MAGALLANES","105.5387111111111111","107.7923235805079055"
"Tierra del Fuego","AUSTRAL","O' CONNOR","54.8240000000000000","5.5521671444580989"
"Tierra del Fuego","AUSTRAL","RIO AVILES","57.2780000000000000","26.4589391006769834"
"Tierra del Fuego","AUSTRAL","RIO CHICO","17.2898397692307692","18.6818756955401927"
"Tierra del Fuego","AUSTRAL","RIO CHICO NORTE","30.8456000000000000","20.8701690529808598"
"Tierra del Fuego","AUSTRAL","SAN GOYO","26.9820000000000000","1.9222082208867083"
