"provincia","cuenca","areayacimiento","prod_gas"
"Estado Nacional","AUSTRAL","ARIES","24309.37"
"Estado Nacional","AUSTRAL","VEGA PLEYADE","4313.599"
"Estado Nacional","AUSTRAL","VEGA PLEYADE","5928.311"
"Estado Nacional","AUSTRAL","CARINA-FENIX-ORION-ORION NORTE-ORION OESTE","72715.41"
"Estado Nacional","AUSTRAL","CARINA-FENIX-ORION-ORION NORTE-ORION OESTE","60081.78"
"Estado Nacional","AUSTRAL","CARINA-FENIX-ORION-ORION NORTE-ORION OESTE","85016.22"
"Estado Nacional","AUSTRAL","CARINA-FENIX-ORION-ORION NORTE-ORION OESTE","70689.94"
"Estado Nacional","AUSTRAL","ARIES","15010.76"
"Estado Nacional","AUSTRAL","ARIES","12624.14"
"Estado Nacional","AUSTRAL","VEGA PLEYADE","67328.95"
"Estado Nacional","AUSTRAL","VEGA PLEYADE","49996.56"
"Estado Nacional","AUSTRAL","ARIES","23616.32"
"Estado Nacional","AUSTRAL","ARIES","22551.95"
"Estado Nacional","AUSTRAL","ARIES","6395.402"
"Estado Nacional","AUSTRAL","CARINA-FENIX-ORION-ORION NORTE-ORION OESTE","49393.29"
"Estado Nacional","AUSTRAL","CARINA-FENIX-ORION-ORION NORTE-ORION OESTE","73944.48"
"Estado Nacional","AUSTRAL","CARINA-FENIX-ORION-ORION NORTE-ORION OESTE","57057.65"
"Estado Nacional","AUSTRAL","CARINA-FENIX-ORION-ORION NORTE-ORION OESTE","62043.69"
"Estado Nacional","AUSTRAL","ARIES","23801.28"
"Estado Nacional","AUSTRAL","CARINA-FENIX-ORION-ORION NORTE-ORION OESTE","54752.14"
"Estado Nacional","AUSTRAL","CARINA-FENIX-ORION-ORION NORTE-ORION OESTE","78533.96"
"Estado Nacional","AUSTRAL","CARINA-FENIX-ORION-ORION NORTE-ORION OESTE","65797.32"
"Estado Nacional","AUSTRAL","CARINA-FENIX-ORION-ORION NORTE-ORION OESTE","64583.63"
"Estado Nacional","AUSTRAL","VEGA PLEYADE","50366.37"
