"provincia","prod_gas"
"Santa Cruz","0.753"
"Santa Cruz","1.1"
"Santa Cruz","2.24"
"Santa Cruz","2.44"
"Santa Cruz","3.08"
"Santa Cruz","3.27"
"Santa Cruz","3.48"
"Santa Cruz","3.53"
"Santa Cruz","13.988"
"Santa Cruz","15.557"
"Santa Cruz","21.547"
"Santa Cruz","25.010"
"Santa Cruz","29.54662"
"Santa Cruz","34.178"
"Santa Cruz","35.283"
"Santa Cruz","36.194"
"Santa Cruz","36.563"
"Santa Cruz","36.707"
"Santa Cruz","38.007"
"Santa Cruz","38.306"
"Santa Cruz","38.443"
"Santa Cruz","39.930"
"Santa Cruz","41.490"
"Santa Cruz","41.532"
"Santa Cruz","44.020"
"Santa Cruz","44.106"
"Santa Cruz","44.702"
"Santa Cruz","46.383"
"Santa Cruz","46.706"
"Santa Cruz","47.382"
"Santa Cruz","48.750"
"Santa Cruz","49.611"
"Santa Cruz","49.724"
"Santa Cruz","50.147"
"Santa Cruz","50.416"
"Santa Cruz","50.448"
"Santa Cruz","50.621"
"Santa Cruz","50.963"
"Santa Cruz","51.018"
"Santa Cruz","52.793"
"Santa Cruz","53.809"
"Santa Cruz","54.512"
"Santa Cruz","55.906"
"Santa Cruz","55.966"
"Santa Cruz","56.413"
"Santa Cruz","57.107"
"Santa Cruz","57.702"
"Santa Cruz","57.804"
"Santa Cruz","58.289"
"Santa Cruz","58.518"
"Santa Cruz","58.613"
"Santa Cruz","58.966"
"Santa Cruz","59.126"
"Santa Cruz","59.530"
"Santa Cruz","60.075"
"Santa Cruz","60.612"
"Santa Cruz","60.885"
"Santa Cruz","61.979"
"Santa Cruz","62.997"
"Santa Cruz","63.337"
"Santa Cruz","63.968"
"Santa Cruz","64.244"
"Santa Cruz","64.253"
"Santa Cruz","64.258"
"Santa Cruz","64.323"
"Santa Cruz","64.483"
"Santa Cruz","64.511"
"Santa Cruz","64.580"
"Santa Cruz","64.593"
"Santa Cruz","64.840"
"Santa Cruz","66.241"
"Santa Cruz","66.784"
"Santa Cruz","66.917"
"Santa Cruz","68.179"
"Santa Cruz","68.448"
"Santa Cruz","68.492"
"Santa Cruz","69.036"
"Santa Cruz","69.098"
"Santa Cruz","69.824"
"Santa Cruz","71.284"
"Santa Cruz","72.351"
"Santa Cruz","72.642"
"Santa Cruz","72.903"
"Santa Cruz","74.085"
"Santa Cruz","74.134"
"Santa Cruz","74.492"
"Santa Cruz","75.585"
"Santa Cruz","75.673"
"Santa Cruz","75.992"
"Santa Cruz","76.020"
"Santa Cruz","76.260"
"Santa Cruz","76.56246"
"Santa Cruz","76.671"
"Santa Cruz","77.066"
"Santa Cruz","77.093"
"Santa Cruz","77.369"
"Santa Cruz","77.781"
"Santa Cruz","77.81202"
"Santa Cruz","77.822"
"Santa Cruz","77.825"
"Santa Cruz","77.915"
"Santa Cruz","78.038"
"Santa Cruz","78.600"
"Santa Cruz","78.960"
"Santa Cruz","79.026"
"Santa Cruz","80.411"
"Santa Cruz","80.991"
"Santa Cruz","81.034"
"Santa Cruz","81.580"
"Santa Cruz","81.798"
"Santa Cruz","82.002"
"Santa Cruz","82.590"
"Santa Cruz","82.72628"
"Santa Cruz","82.731"
"Santa Cruz","82.953"
"Santa Cruz","83.741"
"Santa Cruz","83.928"
"Santa Cruz","84.132"
"Santa Cruz","84.231"
"Santa Cruz","84.248"
"Santa Cruz","84.960"
"Santa Cruz","85.636"
"Santa Cruz","85.830"
"Santa Cruz","86.058"
"Santa Cruz","87.290"
"Santa Cruz","87.638"
"Santa Cruz","87.928"
"Santa Cruz","88.393"
"Santa Cruz","89.840"
"Santa Cruz","90.491"
"Santa Cruz","91.873"
"Santa Cruz","92.128"
"Santa Cruz","92.621"
"Santa Cruz","92.866"
"Santa Cruz","93.225"
"Santa Cruz","93.571"
"Santa Cruz","94.504"
"Santa Cruz","94.887"
"Santa Cruz","95.059"
"Santa Cruz","95.252"
"Santa Cruz","95.508"
"Santa Cruz","96.060"
"Santa Cruz","96.159"
"Santa Cruz","96.315"
"Santa Cruz","96.874"
"Santa Cruz","97.338"
"Santa Cruz","98.606"
"Santa Cruz","98.830"
"Santa Cruz","99.378"
"Santa Cruz","99.699"
"Santa Cruz","100.137"
"Santa Cruz","100.169"
"Santa Cruz","100.328"
"Santa Cruz","100.344"
"Santa Cruz","100.882"
"Santa Cruz","101.279"
"Santa Cruz","101.603"
"Santa Cruz","102.509"
"Santa Cruz","102.529"
"Santa Cruz","102.746"
"Santa Cruz","102.785"
"Santa Cruz","102.925"
"Santa Cruz","102.975"
"Santa Cruz","103.037"
"Santa Cruz","103.576"
"Santa Cruz","105.648"
"Santa Cruz","106.301"
"Santa Cruz","106.447"
"Santa Cruz","106.594"
"Santa Cruz","108.143"
"Santa Cruz","108.148"
"Santa Cruz","109.501"
"Santa Cruz","109.961"
"Santa Cruz","111.330"
"Santa Cruz","111.928"
"Santa Cruz","112.5498"
"Santa Cruz","113.336"
"Santa Cruz","113.599"
"Santa Cruz","114.579"
"Santa Cruz","114.815"
"Santa Cruz","114.989"
"Santa Cruz","115.025"
"Santa Cruz","115.741"
"Santa Cruz","116.608"
"Santa Cruz","117.488"
"Santa Cruz","117.665"
"Santa Cruz","118.184"
"Santa Cruz","118.329"
"Santa Cruz","118.331"
"Santa Cruz","118.702"
"Santa Cruz","118.886"
"Santa Cruz","118.894"
"Santa Cruz","120.200"
"Santa Cruz","120.314"
"Santa Cruz","122.493"
"Santa Cruz","122.888"
"Santa Cruz","122.974"
"Santa Cruz","123.396"
"Santa Cruz","124.230"
"Santa Cruz","124.7071"
"Santa Cruz","125.004"
"Santa Cruz","127.114"
"Santa Cruz","127.857"
"Santa Cruz","127.922"
"Santa Cruz","128.356"
"Santa Cruz","129.206"
"Santa Cruz","129.258"
"Santa Cruz","130.288"
"Santa Cruz","130.463"
"Santa Cruz","131.733"
"Santa Cruz","132.032"
"Santa Cruz","132.197"
"Santa Cruz","132.576"
"Santa Cruz","132.7512"
"Santa Cruz","133.1046"
"Santa Cruz","133.597"
"Santa Cruz","133.713"
"Santa Cruz","133.857"
"Santa Cruz","133.877"
"Santa Cruz","134.030"
"Santa Cruz","134.225"
"Santa Cruz","134.654"
"Santa Cruz","135.267"
"Santa Cruz","136.1179"
"Santa Cruz","136.139"
"Santa Cruz","136.970"
"Santa Cruz","137.070"
"Santa Cruz","137.071"
"Santa Cruz","137.155"
"Santa Cruz","137.231"
"Santa Cruz","138.069"
"Santa Cruz","138.235"
"Santa Cruz","138.238"
"Santa Cruz","138.875"
"Santa Cruz","139.328"
"Santa Cruz","140.205"
"Santa Cruz","141.325"
"Santa Cruz","141.378"
"Santa Cruz","141.791"
"Santa Cruz","141.822"
"Santa Cruz","141.974"
"Santa Cruz","142.901"
"Santa Cruz","142.962"
"Santa Cruz","143.629"
"Santa Cruz","143.821"
"Santa Cruz","143.928"
"Santa Cruz","145.222"
"Santa Cruz","145.285"
"Santa Cruz","145.614"
"Santa Cruz","145.738"
"Santa Cruz","146.207"
"Santa Cruz","146.708"
"Santa Cruz","146.714"
"Santa Cruz","146.829"
"Santa Cruz","146.869"
"Santa Cruz","148.762"
"Santa Cruz","149.309"
"Santa Cruz","149.644"
"Santa Cruz","149.653"
"Santa Cruz","150.516"
"Santa Cruz","151.028"
"Santa Cruz","151.763"
"Santa Cruz","151.885"
"Santa Cruz","152.017"
"Santa Cruz","152.751"
"Santa Cruz","152.873"
"Santa Cruz","152.892"
"Santa Cruz","152.912"
"Santa Cruz","153.052"
"Santa Cruz","153.503"
"Santa Cruz","154.253"
"Santa Cruz","154.960"
"Santa Cruz","155.081"
"Santa Cruz","155.090"
"Santa Cruz","155.144"
"Santa Cruz","155.364"
"Santa Cruz","155.663"
"Santa Cruz","156.052"
"Santa Cruz","156.152"
"Santa Cruz","156.255"
"Santa Cruz","156.365"
"Santa Cruz","157.539"
"Santa Cruz","157.699"
"Santa Cruz","158.215"
"Santa Cruz","158.267"
"Santa Cruz","158.419"
"Santa Cruz","158.764"
"Santa Cruz","158.780"
"Santa Cruz","158.795"
"Santa Cruz","158.802"
"Santa Cruz","159.672"
"Santa Cruz","161.052"
"Santa Cruz","161.089"
"Santa Cruz","161.099"
"Santa Cruz","161.337"
"Santa Cruz","161.6220"
"Santa Cruz","161.911"
"Santa Cruz","162.003"
"Santa Cruz","162.065"
"Santa Cruz","162.506"
"Santa Cruz","162.579"
"Santa Cruz","162.925"
"Santa Cruz","163.2253"
"Santa Cruz","163.260"
"Santa Cruz","163.470"
"Santa Cruz","163.926"
"Santa Cruz","164.224"
"Santa Cruz","164.434"
"Santa Cruz","164.453"
"Santa Cruz","164.829"
"Santa Cruz","165.090"
"Santa Cruz","165.775"
"Santa Cruz","165.803"
"Santa Cruz","166.270"
"Santa Cruz","166.674"
"Santa Cruz","166.830"
"Santa Cruz","166.835"
"Santa Cruz","167.027"
"Santa Cruz","167.042"
"Santa Cruz","167.273"
"Santa Cruz","167.397"
"Santa Cruz","167.460"
"Santa Cruz","167.549"
"Santa Cruz","167.598"
"Santa Cruz","167.668"
"Santa Cruz","167.768"
"Santa Cruz","168.068"
"Santa Cruz","168.262"
"Santa Cruz","168.429"
"Santa Cruz","168.712"
"Santa Cruz","169.112"
"Santa Cruz","169.345"
"Santa Cruz","169.6686"
"Santa Cruz","169.803"
"Santa Cruz","170.172"
"Santa Cruz","171.136"
"Santa Cruz","171.569"
"Santa Cruz","171.791"
"Santa Cruz","171.811"
"Santa Cruz","171.9183"
"Santa Cruz","171.991"
"Santa Cruz","172.086"
"Santa Cruz","172.202"
"Santa Cruz","172.529"
"Santa Cruz","172.8986"
"Santa Cruz","173.114"
"Santa Cruz","173.135"
"Santa Cruz","173.437"
"Santa Cruz","173.598"
"Santa Cruz","174.038"
"Santa Cruz","174.089"
"Santa Cruz","174.471"
"Santa Cruz","174.503"
"Santa Cruz","174.545"
"Santa Cruz","174.564"
"Santa Cruz","174.575"
"Santa Cruz","174.810"
"Santa Cruz","174.951"
"Santa Cruz","175.090"
"Santa Cruz","175.243"
"Santa Cruz","175.783"
"Santa Cruz","175.794"
"Santa Cruz","176.608"
