"idpozo","prod_gas"
"10464","66649"
"10464","67811.80"
"10464","70015.22"
"10464","72624.48"
"10464","72784.80"
"10464","72918.75"
"10464","73944.48"
"10464","78533.96"
"10464","85016.22"
"10465","62043.69"
"10465","65797.32"
"10465","68041.73"
"10465","68664.25"
"10465","71041.68"
"10465","72715.41"
"10465","73581.76"
"10465","73756.24"
"10465","73885.99"
"154796","57057.65"
"154796","64583.63"
"154796","65175.63"
"154796","67172.55"
"154796","69461.93"
"154796","70689.94"
"154796","71951.03"
"154796","72140.17"
"154796","72322.16"
