"provincia","prod_pet"
"Santa Cruz","0.079"
"Santa Cruz","0.198"
"Santa Cruz","0.230"
"Santa Cruz","0.346"
"Santa Cruz","0.567"
"Santa Cruz","0.577"
"Santa Cruz","0.591"
"Santa Cruz","0.611"
"Santa Cruz","0.644"
"Santa Cruz","0.666"
"Santa Cruz","0.679"
"Santa Cruz","0.712"
"Santa Cruz","0.740"
"Santa Cruz","0.741"
"Santa Cruz","0.785"
"Santa Cruz","0.811"
"Santa Cruz","0.835"
"Santa Cruz","0.857"
"Santa Cruz","0.868"
"Santa Cruz","0.894"
"Santa Cruz","0.923"
"Santa Cruz","0.945"
"Santa Cruz","1.004"
"Santa Cruz","1.166"
"Santa Cruz","1.169"
"Santa Cruz","1.227"
"Santa Cruz","1.302"
"Santa Cruz","1.316"
"Santa Cruz","1.328"
"Santa Cruz","1.386"
"Santa Cruz","1.426"
"Santa Cruz","1.448"
"Santa Cruz","1.453"
"Santa Cruz","1.457"
"Santa Cruz","1.476"
"Santa Cruz","1.481"
"Santa Cruz","1.503"
"Santa Cruz","1.510"
"Santa Cruz","1.513"
"Santa Cruz","1.516"
"Santa Cruz","1.541"
"Santa Cruz","1.547"
"Santa Cruz","1.552"
"Santa Cruz","1.569"
"Santa Cruz","1.588"
"Santa Cruz","1.603"
"Santa Cruz","1.634"
"Santa Cruz","1.725"
"Santa Cruz","1.764"
"Santa Cruz","1.787"
"Santa Cruz","1.836"
"Santa Cruz","1.847"
"Santa Cruz","1.897"
"Santa Cruz","1.920"
"Santa Cruz","1.986"
"Santa Cruz","2.013"
"Santa Cruz","2.020"
"Santa Cruz","2.037"
"Santa Cruz","2.07"
"Santa Cruz","2.072"
"Santa Cruz","2.089"
"Santa Cruz","2.109"
"Santa Cruz","2.130"
"Santa Cruz","2.180"
"Santa Cruz","2.218"
"Santa Cruz","2.289"
"Santa Cruz","2.312"
"Santa Cruz","2.325"
"Santa Cruz","2.333"
"Santa Cruz","2.364"
"Santa Cruz","2.374"
"Santa Cruz","2.389"
"Santa Cruz","2.410"
"Santa Cruz","2.468"
"Santa Cruz","2.474"
"Santa Cruz","2.502"
"Santa Cruz","2.509"
"Santa Cruz","2.532"
"Santa Cruz","2.564"
"Santa Cruz","2.566"
"Santa Cruz","2.603"
"Santa Cruz","2.609"
"Santa Cruz","2.615"
"Santa Cruz","2.637"
"Santa Cruz","2.640"
"Santa Cruz","2.644"
"Santa Cruz","2.648"
"Santa Cruz","2.651"
"Santa Cruz","2.652"
"Santa Cruz","2.672"
"Santa Cruz","2.692"
"Santa Cruz","2.721"
"Santa Cruz","2.726"
"Santa Cruz","2.771"
"Santa Cruz","2.787"
"Santa Cruz","2.794"
"Santa Cruz","2.798"
"Santa Cruz","2.822"
"Santa Cruz","2.837"
"Santa Cruz","2.849"
"Santa Cruz","2.872"
"Santa Cruz","2.898"
"Santa Cruz","2.905"
"Santa Cruz","2.923"
"Santa Cruz","2.925"
"Santa Cruz","2.926"
"Santa Cruz","2.935"
"Santa Cruz","2.938"
"Santa Cruz","2.962"
"Santa Cruz","2.974"
"Santa Cruz","2.984"
"Santa Cruz","2.987"
"Santa Cruz","3.002"
"Santa Cruz","3.004"
"Santa Cruz","3.006"
"Santa Cruz","3.029"
"Santa Cruz","3.033"
"Santa Cruz","3.040"
"Santa Cruz","3.044"
