sigla,idpozo,area,cod_area,empresa,yacimiento,cod_yacimiento,formacion,cuenca,provincia,cota,profundidad,clasificacion,subclasificacion,tipo_recurso,sub_tipo_recurso,gasplus,tipopozo,tipoextraccion,tipoestado,adjiv_fecha_inicio_perf,adjiv_fecha_fin_perf,adjiv_fecha_inicio_term,adjiv_fecha_fin_term,geojson,geom,geometry,provincia_geojson,match_check
YPF.St.Ma.x-1,315.0,YACIMIENTO NORTE 1/B,YN1B,,YACIMIENTO NORTE 1/B,Y071,formación improductiva,NOROESTE,Salta,387.0,5171.0,EXPLORACION,EXPLORACION,No informado,No informado,no,Otro tipo,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-64.166923224696106,-23.7144786914101]}",0101000020E6100000CFC0BFDEAE0A50C0964B5513E8B637C0,POINT (-64.1669232246961 -23.7144786914101),Jujuy,True
YPF.Nq.LM.x-7,8093.0,CATRIEL VIEJO,VIE,Petrolera Aconcagua Energia S.A.,LOMA MONTOSA,LMO,formación improductiva,NEUQUINA,Rio Negro,450.0,2208.0,EXPLORACION,EXPLORACION,No informado,No informado,no,Otro tipo,Sin Sistema de Extracción,Otras Situación Inactivo,,,,,"{""type"":""Point"",""coordinates"":[-68.281099999999995,-37.904200000000003]}",0101000020E6100000F5B9DA8AFD1151C088855AD3BCF342C0,POINT (-68.2811 -37.9042),Neuquén,True
YPF.Nq.LM.x-6,8094.0,CATRIEL VIEJO,VIE,Petrolera Aconcagua Energia S.A.,LOMA MONTOSA,LMO,formación improductiva,NEUQUINA,Rio Negro,450.84,2143.2,EXPLORACION,EXPLORACION,No informado,No informado,no,Otro tipo,Sin Sistema de Extracción,Otras Situación Inactivo,,,,,"{""type"":""Point"",""coordinates"":[-68.254900000000006,-37.887]}",0101000020E610000007F01648501051C0A8C64B3789F142C0,POINT (-68.2549 -37.887),Neuquén,True
YPF.Nq.LM.x-4,8100.0,CATRIEL VIEJO,VIE,Petrolera Aconcagua Energia S.A.,LOMA MONTOSA,LMO,formación improductiva,NEUQUINA,Rio Negro,457.58,2045.8,EXPLORACION,EXPLORACION,No informado,No informado,no,Otro tipo,Sin Sistema de Extracción,Otras Situación Inactivo,,,,,"{""type"":""Point"",""coordinates"":[-68.279300000000006,-37.883099999999999]}",0101000020E610000076711B0DE01151C07E8CB96B09F142C0,POINT (-68.2793 -37.8831),Neuquén,True
YPF.Md.N.PaVe.x-1,8715.0,JAGÜEL CASA DE PIEDRA,JCPA,PLUSPETROL S.A.,PAMPA VERDE,PPVD,tordillo,NEUQUINA,Mendoza,605.07,800.0,EXPLORACION,EXPLORACION,CONVENCIONAL,No informado,no,Petrolífero,Sin Sistema de Extracción,En Estudio,2004-02-26,2004-03-16,2004-04-15,2004-04-18,"{""type"":""Point"",""coordinates"":[-68.16113,-37.478439999999999]}",0101000020E6100000E31934F44F0A51C0938C9C853DBD42C0,POINT (-68.16113 -37.47844),La Pampa,True
SJ.RN.LN-7,10143.0,LOMA NEGRA,LNE,CAPEX S.A.,LOMA NEGRA,LNE,lajas,NEUQUINA,Rio Negro,396.31,3329.0,EXPLOTACION,DESARROLLO,No informado,No informado,no,Petrolífero,Electrosumergible,Extracción Efectiva,1998-10-19,1998-11-09,1999-02-09,1999-02-20,"{""type"":""Point"",""coordinates"":[-38.756338,-67.642382999999995]}",0101000020E61000006C5CFFAECF6043C0682096CD1CE950C0,POINT (-38.756338 -67.642383),,True
TA.CMA-1.AntS.x-1,10267.0,CUENCA MARINA AUSTRAL 1,CAU,TOTAL AUSTRAL S.A.,CAÑADON ALFA-ARA-ARA SUR-ANTARES-ARGO,ALF,springhill,AUSTRAL,Tierra del Fuego,31.9,1777.0,EXPLORACION,EXPLORACION,No informado,No informado,no,Otro tipo,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-68.309899999999999,-52.718000000000004]}",0101000020E6100000F241CF66D51351C096438B6CE75B4AC0,POINT (-68.3099 -52.718),,True
TA.CMA-9.AntN.x-1,10268.0,CUENCA MARINA AUSTRAL 1,CAU,TOTAL AUSTRAL S.A.,CAÑADON ALFA-ARA-ARA SUR-ANTARES-ARGO,ALF,springhill,AUSTRAL,Tierra del Fuego,36.4,1776.0,EXPLORACION,EXPLORACION,No informado,No informado,no,Otro tipo,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-68.356399999999994,-52.676600000000001]}",0101000020E6100000D712F241CF1651C09F3C2CD49A564AC0,POINT (-68.3564 -52.6766),,True
TA.CMA-1.Ara.e-10,10270.0,CUENCA MARINA AUSTRAL 1,CAU,TOTAL AUSTRAL S.A.,CAÑADON ALFA-ARA-ARA SUR-ANTARES-ARGO,ALF,springhill,AUSTRAL,Tierra del Fuego,32.1,1777.0,EXPLORACION,EXTENSION,No informado,No informado,no,Otro tipo,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-68.369600000000005,-52.762700000000002]}",0101000020E61000008126C286A71751C061545227A0614AC0,POINT (-68.3696 -52.7627),,True
TA.CMA-1.Ara.x-2,10271.0,CUENCA MARINA AUSTRAL 1,CAU,TOTAL AUSTRAL S.A.,CAÑADON ALFA-ARA-ARA SUR-ANTARES-ARGO,ALF,springhill,AUSTRAL,Tierra del Fuego,38.0,1738.0,EXPLORACION,EXPLORACION,No informado,No informado,no,Otro tipo,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-68.278000000000006,-52.786200000000001]}",0101000020E61000006F1283C0CA1151C0BF0E9C33A2644AC0,POINT (-68.278 -52.7862),,True
